Year,Scenario,Africa,Asia-Pacific Developed,Eastern Asia,Europe,Eurasia,Latin America and Caribbean,Middle East,North America,Southern Asia,South-East Asia and Developing Pacific,Global
2071,ssp119,-7.411361599,-6.219716454,-12.91100025,-13.41228724,-10.22284985,-7.405945826,-16.45706596,-13.18952389,-13.92286749,-9.906153154,-8.783687766
2072,ssp119,-7.116617107,-6.287051344,-13.04411793,-13.59615135,-10.43385649,-7.129183102,-15.83389368,-13.39196749,-13.61050768,-10.20657248,-8.806172175
2073,ssp119,-7.593291187,-6.350856447,-13.37163544,-13.79072428,-10.64253616,-7.292068768,-15.91534224,-13.6639678,-14.17455263,-9.787857485,-8.995770315
2074,ssp119,-7.650137329,-5.980938101,-13.39656448,-13.55801296,-10.52449703,-7.396007824,-16.89285126,-13.39239569,-14.55282469,-9.704272223,-8.891884816
2075,ssp119,-7.690008545,-6.286205673,-13.47449923,-13.62425661,-10.64706182,-7.284573841,-16.49254599,-13.68475122,-14.28135843,-10.05924029,-9.038185203
2076,ssp119,-7.571524048,-6.328730249,-13.4897747,-13.66410351,-10.54418135,-7.21270256,-16.37755003,-13.47909422,-14.47346277,-10.13604207,-8.930756638
2077,ssp119,-7.836192989,-6.240526342,-13.53426075,-13.54482698,-10.45832396,-7.448543119,-16.66680422,-13.6548173,-14.77277155,-9.944164705,-8.999561958
2078,ssp119,-7.831291103,-6.461698198,-13.68663359,-13.97807312,-10.60925055,-7.290580797,-16.4827527,-13.69878454,-14.72609205,-10.42367978,-9.072477263
2079,ssp119,-7.733339214,-6.358720446,-13.59615993,-13.65908337,-10.50579071,-7.298876333,-16.55737295,-13.64117212,-14.69051905,-10.24825115,-9.034075844
2080,ssp119,-7.770304585,-6.518783712,-13.8991971,-13.86659288,-10.92037535,-7.317272711,-16.63697996,-13.91770477,-14.52530546,-10.66343637,-9.098263295
2081,ssp119,-7.719575787,-6.408495569,-13.63861322,-13.64009619,-10.63080072,-7.560345936,-16.72541037,-13.61650534,-14.77119417,-10.17440839,-9.113304219
2082,ssp119,-8.144287491,-6.046411657,-13.81929064,-13.98493385,-10.64391136,-7.426336336,-16.70848074,-13.74980612,-14.98058386,-10.29780288,-9.093537246
2083,ssp119,-7.918095493,-6.439239407,-14.14901352,-14.10550213,-11.01051331,-7.303403187,-16.98741808,-13.83491535,-15.36742277,-10.62165494,-9.208794299
2084,ssp119,-7.641970062,-6.238736773,-13.79029989,-13.91379976,-10.86170435,-7.30851965,-16.55134382,-13.79147024,-15.49749727,-10.41996713,-8.971307813
2085,ssp119,-8.073619747,-6.362821245,-14.23137236,-14.17943048,-11.07333994,-7.546038675,-17.08308973,-14.17008228,-15.89517946,-10.30975289,-9.251305354
2086,ssp119,-7.967599297,-6.05542531,-14.07244682,-13.88977909,-10.68096685,-7.363890457,-16.77099314,-13.58429022,-15.73006411,-10.46856828,-9.064170315
2087,ssp119,-8.09018507,-6.173427725,-14.28936481,-14.09363461,-10.86931562,-7.308238554,-17.0249547,-14.0217845,-15.98163576,-10.47237678,-9.187846551
2088,ssp119,-8.029235268,-6.25195756,-14.41542006,-14.17700338,-10.85746145,-7.435855436,-16.9218401,-13.89039392,-15.58749456,-10.56839604,-9.245093372
2089,ssp119,-7.92854538,-6.395800972,-14.14495564,-14.01556492,-10.82379007,-7.470196295,-16.41942873,-13.78815289,-15.44814272,-10.78048034,-9.160127253
2090,ssp119,-8.223182106,-6.473335171,-14.31839943,-14.25032043,-10.71285629,-7.575743961,-17.24303331,-13.82443686,-15.95187159,-10.3331141,-9.209209844
2091,ssp119,-8.317361736,-6.410904312,-14.42205858,-14.19892263,-10.87312984,-7.442785311,-17.1270503,-13.87176962,-15.99860449,-10.37992425,-9.205282589
2092,ssp119,-7.698953533,-6.424110794,-14.15670538,-13.81833601,-10.62849903,-7.338420439,-16.43447819,-13.54137011,-16.22127981,-11.22624249,-9.075039289
2093,ssp119,-8.002711201,-6.533614779,-14.532897,-14.43520689,-11.13447475,-7.320219088,-16.40106239,-14.0102603,-15.95657129,-10.63233705,-9.232748939
2094,ssp119,-8.381585026,-6.581793928,-14.6510582,-14.37779474,-11.18324518,-7.731816101,-17.28623714,-14.05425806,-16.32526751,-10.45822186,-9.377920162
2095,ssp119,-8.303674603,-6.602170372,-14.58739901,-14.37353468,-11.31280279,-7.752019691,-16.88019791,-14.07211657,-16.06993742,-10.95181794,-9.410265274
2096,ssp119,-8.3026618,-6.50263443,-14.74225712,-14.43402195,-11.38824558,-7.597110558,-16.70660439,-14.17290945,-16.29262705,-10.70812697,-9.424129585
2097,ssp119,-8.26000061,-6.547009134,-14.73945904,-14.24098444,-10.97041416,-7.385021257,-16.87075605,-13.78871078,-16.26587553,-11.0665092,-9.258288979
2098,ssp119,-8.378806019,-6.598710918,-14.75132084,-14.37214661,-11.01567602,-7.671374846,-17.17442455,-14.10962029,-16.67011423,-10.41098113,-9.4051888
2099,ssp119,-8.548685932,-6.655216837,-14.85682058,-14.57877159,-11.40783358,-7.804433393,-17.29293766,-14.27298851,-16.66513224,-10.85295148,-9.557650342
2100,ssp119,-8.604329014,-6.418370152,-14.96540308,-14.63139772,-11.48860788,-7.529284048,-17.24418774,-14.37652082,-16.733813,-10.95892472,-9.519612733
2015,ssp126,0.022258854,0.052444792,0.582294464,-0.059750557,0.023069382,0.407680702,-0.278564835,-0.60724659,1.403617191,1.596348333,0.069064811
2016,ssp126,-0.047991657,-0.12342515,0.628096581,0.195493221,0.363296032,0.12540741,-0.467652702,-0.337626648,1.216704655,1.347507048,0.0495369
2017,ssp126,0.199071026,-0.268248701,0.187879562,-0.263586521,0.276677608,-0.220217037,-0.242968941,-0.572385502,1.353639889,0.791518259,-0.084491928
2018,ssp126,0.059847927,-0.343905115,0.167804718,-0.544804096,0.308374882,-0.023445415,-0.215326691,-0.612806034,0.636677074,0.348070192,-0.233442708
2019,ssp126,-0.100339794,-0.528293276,-0.107865334,-0.762171745,-0.124941826,0.009633732,-0.60216465,-1.170081329,0.620981503,0.223352003,-0.405258575
2020,ssp126,-0.22740736,-0.214818621,-0.672586441,-1.064026833,-0.734376907,-0.399958897,-0.58396759,-1.819898319,1.077365208,1.136824656,-0.586177341
2021,ssp126,-0.432426834,-0.240285063,-0.444265366,-1.210914612,-0.472635269,-0.596855927,-1.275693321,-1.553674889,-0.06173296,0.570802259,-0.587602072
2022,ssp126,-0.16376009,-0.746665621,-0.777949333,-1.667262554,-0.956570625,-0.693064499,-1.251728439,-2.131659222,-0.388243389,0.018051195,-0.760804675
2023,ssp126,-0.413580799,-0.905988836,-1.157623291,-1.912672043,-1.316534042,-0.873811054,-1.75006237,-2.851046753,-0.538624477,-0.158372831,-1.038639364
2024,ssp126,-0.648483658,-0.853495741,-1.712656975,-2.03497839,-1.263745785,-0.887204933,-2.499756241,-2.731636715,-1.414360714,-0.828657579,-1.301178263
2025,ssp126,-0.865768814,-1.124971533,-1.166309357,-2.444122314,-1.46718359,-1.27084856,-2.155199432,-3.409992886,-1.36425848,-0.238366556,-1.501402744
2026,ssp126,-0.896341705,-0.972324514,-1.661431313,-2.69997406,-1.34705162,-1.40833168,-2.735793495,-3.493834209,-2.088354778,-0.85503335,-1.60751353
2027,ssp126,-1.110083485,-1.367584372,-2.539689064,-3.383424759,-2.174142838,-1.952527332,-3.367013359,-3.866326046,-1.751222324,-1.297904444,-1.886993907
2028,ssp126,-1.525798225,-1.437856817,-2.524313927,-3.371746063,-2.247018814,-2.118361282,-4.003811264,-4.318300915,-2.604881001,-1.352323008,-2.18482892
2029,ssp126,-1.540833855,-1.998355055,-2.818642616,-4.178795338,-2.714359283,-2.177349377,-4.054632568,-4.853683662,-3.294380856,-1.797660303,-2.445526577
2030,ssp126,-1.645628357,-1.942558432,-3.313242912,-4.566066742,-3.272113323,-2.540162373,-4.368810081,-5.564489555,-3.78173418,-2.211023283,-2.806771698
